id,judge_id,court_id,judge,court,,,,name,judges_id,,id,district,county
,29,,Honorable Edward Self,99th District Court,Lubbock,,,Honorable Les Hatch,139,,139,419th District Court,Travis
,30,,Honorable James Edward Lagomarsino,13th District Court,Navarro,,,Honorable Kerry Lane Neves,140,,140,81st District Court,Karnes
,31,,Honorable Melody Wilkinson,17th District Court,Tarrant,,,Honorable Lonnie Cox,141,,141,85th District Court,Brazos
,32,,Honorable Kathleen S. Stone,Tyler County Court,Tyler,,,Honorable Don Burgess,142,,142,395th District Court,Williamson
,33,,Honorable Kristina M. Williams,192nd District Court,Dallas,,,Honorable Joel B. Johnson,143,,143,354th District Court,Hunt
,34,,Honorable Paula Rosales,County Court at Law No 4,Dallas,,,Honorable Kyle Hawthorne,144,,144,169th District Court,Bell
,35,,Honorable Mark H. Woerner,County Court at Law No 4,Nueces,,,Honorable Ryan Larson,145,,145,42nd District Court,Coleman
,36,,Honorable Joshua Z. Wintters,Van Zandt County Court,Van Zandt,,,Honorable Maggie Perez-Jaramillo,146,,146,County Court at Law,Orange
,37,,Honorable Jeff Steinhauser,155th District Court,Fayette,,,Honorable Keli Michelle Aiken,147,,147,County Court at Law No 5,Dallas
,38,,Honorable Jim S. Johnson,431st District Court,Denton,,,Honorable Cari Starritt-Burnett,148,,148,County Court at Law No. 6,Collin
,39,,Honorable Amy Mccorkle Smith,402nd District Court,Wood,,,Honorable James Eidson,149,,149,190th District Court,Harris
,40,,Honorable Staci Williams,101st District Court,Dallas,,,Honorable Mandy White-Rogers,150,,150,331st District Court,Travis
,41,,Honorable Jennifer Edgeworth,219th District Court,Collin,,,Honorable Nicole  R.  Taylor,151,,151,County Court at Law,Henderson
,42,,Honorable Dale B. Tillery,134th District Court,Dallas,,,Honorable Jay  Adam Bender,152,,152,1st District Court,Jasper
,43,,Honorable Dedra Davis,270th District Court,Harris,,,Honorable Judge 190th District Court,153,,153,112th District Court,Pecos
,44,,Honorable Christopher Michael Clark,County Court at Law No 2,Ector,,,Honorable Chantal Melissa Eldridge,154,,154,County Court at Law,Randall
,45,,Honorable Megan Jo Berger Fahey,348th District Court,Tarrant,,,Honorable Beauford Keith Downs,155,,155,330th District Court,Dallas
,46,,Honorable Daniella Deseta Lyttle,261st District Court,Travis,,,Honorable Craig M. Mixson,156,,156,67th District Court,
,47,,Honorable Julia Malveaux,Probate Court,Dallas,,,Honorable Stephen B. Ables,157,,157,47th District Court,Randall
,48,,"Honorable Amado J. Abascal, III",365th District Court,Zavala,,,Honorable Jack M. Graham,158,,158,County Court at Law No. 7,Collin
,49,,Honorable Annabel Perez,41st District Court,El Paso,,,Honorable Andrea D. Plumlee,159,,159,Probate Court,El Paso
,20,,Honorable Maya Guerra Gamble,459th District Court,Travis,,,Honorable Donald J. Cosby,160,,160,367th District Court,Denton
,50,,Honorable Jesus E. Nevarez,231st District Court,Tarrant,,,Honorable Delinda (Dee) Rene Johnson,161,,161,316th District Court,Hutchinson
,51,,Honorable John Brick,272nd District Court,Brazos,,,Honorable David Waddill,162,,162,236th District Court,Tarrant
,52,,Honorable Terri Tipton Holder,149th District Court,Brazoria,,,Honorable Patricia Chew,163,,163,148th District Court,Nueces
,53,,Honorable Jessica Lauren Mangrum,353rd District Court,Travis,,,Honorable Margaret Barnes,164,,164,Probate Court No. 1,Collin
,54,,Honorable Brock R. Smith,271st District Court,Wise,,,Honorable James M. Mosley,165,,165,103rd District Court,Cameron
,55,,Honorable Paul R. Rotenberry,326th District Court,Taylor,,,Honorable Thomas Wilson Lowe,166,,166,81st District Court,Wilson
,56,,Honorable David V. Stith,319th District Court,Nueces,,,Honorable David Klein,167,,167,146th District Court,Bell
,57,,Honorable Jack A. McGaughey,97th District Court,Montague,,,Honorable Weldon Stone Copeland,168,,168,193rd District Court,Dallas
,12,,Honorable Jan Soifer,126th District Court,Travis,,,Honorable Amy Clark-Meachum,169,,169,350th District Court,Taylor
,58,,Honorable Eric Moye,14th District Court,Dallas,,,Honorable Janet Lee Leal,170,,170,County Court at Law No 2,Montgomery
,59,,Honorable Carson Campbell,21st District Court,Bastrop,,,Honorable Russell Wilson,171,,171,61st District Court,Harris
,60,,Honorable Kristin Brauchle Hawkins,11th District Court,Harris,,,Honorable Dallas Sims,172,,172,250th District Court,Travis
,61,,Honorable Jerry Buckner,County Court at Law,Parker,,,Honorable Bridgett Nichol Whitmore,173,,173,45th District Court,Bexar
,62,,Honorable Chad W. Dean,County Court at Law,Rusk,,,Honorable Cleve W. Doty,174,,174,200th District Court,Travis
,63,,Honorable Susan F. Harris,County Court at Law,Kerr,,,Honorable Thomas M. Wheeler,175,,175,368th District Court,Williamson
,64,,Honorable MONICA MCCOY PURDY,95th District Court,Dallas,,,Honorable Antonia Arteaga,176,,176,84th District Court,Hutchinson
,65,,Honorable Michael Paul Gomez,129th District Court,Harris,,,Honorable Claudia Lee Laird,177,,177,451st District Court,Kendall
,66,,Honorable Randy McDonald,344th District Court,Chambers,,,Honorable Fredericka Phillips,178,,178,County Court at Law No 2,Gregg
,67,,Honorable Manpreet Monica Singh,County Civil Court at Law No 4,Harris,,,Honorable Mary Lou Alvarez,179,,179,92nd District Court,Hidalgo
,68,,Honorable Patricia Bennett,360th District Court,Tarrant,,,Honorable Maria Cantu Hexsel,180,,180,423rd District Court,Bastrop
,69,,Honorable John Jackson McClendon,137th District Court,Lubbock,,,Honorable Madeleine Connor,181,,181,117th District Court,Nueces
,70,,Honorable Alexander Han Joong Kim,323rd District Court,Tarrant,,,Honorable John W. Youngblood,182,,182,112th District Court,Reagan
,71,,Honorable Jessica Crawford,25th District Court,Guadalupe,,,Honorable Curt W. Brancheau,183,,183,145th District Court,Nacogdoches
,72,,Honorable Steven Lee Smith,361st District Court,Brazos,,,Honorable Kirsten B. Cohoon,184,,184,435th District Court,Montgomery
,73,,Honorable Christine Weems,281st District Court,Harris,,,Honorable Vincent L. Dulweber,185,,185,Criminal District Court 3,Tarrant
,74,,Honorable Natalia Oakes,313th District Court,Harris,,,Honorable Luis M. Singleterry,186,,186,334th District Court,Harris
,75,,Honorable Vincenzo Santini,457th District Court,Montgomery,,,Honorable Christopher Darrow Duggan,187,,187,441st District Court,Midland
,76,,Honorable Sergio H. Enriquez,448th District Court,El Paso,,,Honorable Charles E. Montemayor,188,,188,County Court at Law No 3,McLennan
,19,,Honorable Timothy D. Yeats,118th District Court,Glasscock,,,Honorable Sandre Streete,189,,189,143rd District Court,Ward
,77,,Honorable Raul T. Perales,285th District Court,Bexar,,,Honorable Susan Barclay,190,,190,438th District Court,Bexar
,78,,Honorable Jeralynn Manor,80th District Court,Harris,,,Honorable Richard Edward Price,191,,191,114th District Court,Smith
,79,,Honorable Brittanye Morris,333rd District Court,Harris,,,Honorable Pedro (Pete) Gomez,192,,192,12th District Court,Grimes
,80,,Honorable Tracy Gray,County Court At Law,Kaufman,,,Honorable Dwight L. Phifer,193,,193,90th District Court,Stephens
,81,,Honorable Patrick H. Simmons,77th District Court,Freestone,,,Honorable Patricia (Patty) Maginnis,194,,194,County Court at Law No 5,Hidalgo
,82,,Honorable John Byron McMaster,Williamson County Court at Law No. 4,Williamson,,,Honorable Elizabeth H. Beach,195,,195,345th District Court,Travis
,83,,Honorable Lora J. Livingston,353rd District Court,Travis,,,Honorable Dawn Rogers,196,,196,82nd District Court,Robertson
,84,,Honorable Jim F. Kovach,County Civil Court at Law No 2,Harris,,,Honorable Ryan Luna,197,,197,72nd District Court,Crosby
,85,,Honorable William D. Old,25th District Court,Gonzales,,,Honorable Aaron Haas,198,,198,397th District Court,Grayson
,26,,Honorable John (Mike) M. Swanson,143rd District Court,Reeves,,,Honorable Austin R. Jackson,199,,199,198th District Court,Bandera
,86,,Honorable Catherine A. Mauzy,98th District Court,Travis,,,Honorable David W. Moorman,200,,200,164th District Court,Harris
,87,,Honorable Christian Becerra,434th District Court,Fort Bend,,,Honorable Stephen E. Bristow,201,,201,County Court at Law No 6,El Paso
,88,,Honorable Mark Alan Calhoon,3rd District Court,Anderson,,,Honorable JoAnne Garcia,202,,202,202nd District Court,Bowie
,89,,Honorable Grant Kinsey,440th District Cpurt,Coryell,,,Honorable Bryan (Rusty) F. Russ,203,,203,44th District Court,Dallas
,90,,Honorable Rabeea Sultan Collier,113th District Court,Harris,,,Honorable Kara L. Darnell,204,,204,68th District Court,Dallas
,91,,Honorable Robin Malone Darr,385th District Court,Midland,,,Honorable Brian K. Gary,205,,205,128th District Court,Orange
,92,,Honorable Barbara J. Stalder,280th District Court,Harris,,,Honorable Richard Garcia,206,,206,471st District Court,Collin
,93,,Honorable Thomas R. Culver,240th District Court,Fort Bend,,,Honorable Melvin Rex Emerson,207,,207,255th District Court,Dallas
,94,,Honorable Jerome Scott Hennigan,324th District Court,Tarrant,,,Honorable Cheryl Elliott Thornton,208,,208,224th District Court,Bexar
,95,,Honorable R. O'Neil Williams,268th District Court,Fort Bend,,,Honorable M. Sue Kurita,209,,209,315th District Court,Harris
,96,,Honorable Ana Estevez,251st District Court,Randall,,,Honorable Eric Shepperd,210,,210,County Criminal Court No 10,Tarrant
,97,,Honorable Albert D. Pattillo,216th District Court,Gillespie,,,Honorable John Tidwell,211,,211,County Court at Law No 3 & Probate Court,Brazoria
,98,,Honorable Chris Martin,294th District Court,Van Zandt,,,Honorable Martin Jerome Hoffman,212,,212,County Court at Law No 3,El Paso
,99,,Honorable Melissa Bellan,County Court at Law No 2,Dallas,,,Honorable Courtney Burch-Arkeen,213,,213,County Court at Law No 3,Montgomery
,100,,Honorable Kemper Stephen Williams,135th District Court,Refugio,,,Honorable Andrea Kelly Bouressa,214,,214,414th District Court,McLennan
,101,,Honorable Frank Malinak,Lee County Court,Lee,,,Honorable Scot Gibbons Dollinger,215,,215,139th District Court,Hidalgo
,102,,Honorable Susan H. McCoy,153rd District Court,Tarrant,,,Honorable Leah Shapiro,216,,216,40th District Court,Ellis
,103,,Honorable David Anthony Lopez,256th District Court,Dallas,,,Honorable M. Trent Loftin,217,,217,444th District Court,Cameron
,104,,Honorable Karin R. Crump,53rd District Court,Travis,,,Honorable Jeremy Eugene Warren,218,,218,343rd District Court,Bee
,15,,Honorable J. Allan Garrett,424th District Court,Burnet,,,Honorable Dick Alcala,219,,219,288th District Court,Bexar
,105,,Honorable Mary Murphy,336th District Court,Fannin,,,Honorable Amy Tucker,220,,220,392nd District Court,Henderson
,106,,Honorable Gloria E. Lopez,308th District Court,Harris,,,Honorable Vicki L. Menard,221,,221,County Court at Law No 7,El Paso
